Date,Open,High,Low,Close,Volume,Adj Close
2014-04-03,54.73,55.450001,53.700001,54.139999,3462600,54.139999
2014-04-04,54.849998,55.18,53.75,54.18,3825400,54.18
2014-04-07,54.060001,54.150002,51.639999,52.619999,3487000,52.619999
2014-04-08,52.610001,53.740002,52.369999,53.16,1848500,53.16
2014-04-09,53.240002,54.740002,52.669998,54.560001,2557000,54.560001
2014-04-10,53.799999,54.41,52.130001,52.57,2787700,52.57
2014-04-11,52.060001,52.540001,51.169998,52.080002,2465200,52.080002
2014-04-14,52.389999,53.68,52.02,52.389999,2541000,52.389999
2014-04-15,52.869999,53.490002,51.48,52.509998,1905900,52.509998
2014-04-16,52.849998,53.330002,52.209999,52.709999,1569800,52.709999
2014-04-17,52.68,53.18,51.619999,51.709999,2688800,51.709999
2014-04-21,51.700001,51.700001,47.91,49.07,7218600,49.07
2014-04-22,49.189999,49.189999,47.939999,48.27,4223300,48.27
2014-04-23,48.349998,48.639999,47.41,47.509998,3086500,47.509998
2014-04-24,47.849998,47.98,46.700001,47.099998,2538900,47.099998
2014-04-25,47.32,47.380001,45.490002,45.5,3883700,45.5
2014-04-28,45.5,45.509998,43.34,45.23,6543100,45.23
2014-04-29,45.200001,45.939999,44.84,45.580002,2876300,45.580002
2014-04-30,45.470001,46.34,45.110001,45.93,2397600,45.93
2014-05-01,45.720001,46.189999,44.720001,44.990002,2610900,44.990002
2014-05-02,45.09,45.900002,44.900002,45.450001,1690200,45.450001
2014-05-05,45.450001,45.889999,45.009998,45.57,1357400,45.57
2014-05-06,45.349998,45.5,44.52,44.599998,2334100,44.599998
2014-05-07,44.5,44.599998,42.279999,43.700001,3967200,43.700001
2014-05-08,43.09,44.16,43.0,43.209999,1742100,43.209999
2014-05-09,43.369999,44.139999,42.900002,43.77,1776400,43.77
2014-05-12,44.0,45.040001,44.0,44.77,2322700,44.77
2014-05-13,45.470001,46.779999,45.23,45.380001,3562400,45.380001
2014-05-14,45.009998,45.400002,44.470001,45.200001,1617700,45.200001
2014-05-15,44.950001,45.23,44.049999,44.669998,1966300,44.669998
2014-05-16,44.5,45.240002,44.400002,45.150002,1065500,45.150002
2014-05-19,44.849998,45.799999,44.849998,45.669998,979200,45.669998
2014-05-20,45.400002,45.959999,44.330002,44.450001,1440000,44.450001
2014-05-21,44.41,45.099998,44.259998,44.790001,1373800,44.790001
2014-05-22,44.77,45.439999,44.509998,45.150002,792200,45.150002
2014-05-23,45.119999,45.639999,44.759998,45.299999,1229800,45.299999
2014-05-27,45.619999,45.639999,44.59,44.860001,1935200,44.860001
2014-05-28,44.939999,45.150002,43.98,44.689999,2028200,44.689999
2014-05-29,45.0,45.25,44.32,44.43,1391600,44.43
2014-05-30,44.73,45.0,44.0,44.630001,1847900,44.630001
2014-06-02,44.599998,44.619999,43.139999,43.490002,3133500,43.490002
2014-06-03,43.669998,43.889999,43.220001,43.27,2281500,43.27
2014-06-04,43.189999,43.490002,42.619999,42.98,2557400,42.98
2014-06-05,43.869999,44.200001,42.790001,42.869999,3566200,42.869999
2014-06-06,43.259998,44.630001,42.900002,44.419998,3971800,44.419998
2014-06-09,44.889999,45.349998,44.630001,44.990002,3740200,44.990002
2014-06-10,45.23,46.290001,45.119999,45.48,3538800,45.48
2014-06-11,45.75,45.790001,44.080002,44.299999,5857700,44.299999
2014-06-12,37.23,38.5,37.0,37.25,36568200,37.25
2014-06-13,37.150002,37.639999,36.259998,37.610001,13793200,37.610001
2014-06-16,37.5,38.299999,37.439999,38.25,5504300,38.25
2014-06-17,38.080002,39.060001,38.0,38.709999,5025100,38.709999
2014-06-18,39.400002,40.299999,38.919998,39.880001,5506200,39.880001
2014-06-19,40.200001,40.470001,39.990002,40.27,4052500,40.27
2014-06-20,40.200001,40.43,39.98,40.23,2694200,40.23
2014-06-23,41.740002,41.939999,41.040001,41.25,6328200,41.25
2014-06-24,41.02,41.66,40.709999,41.110001,3328300,41.110001
2014-06-25,41.0,41.560001,40.799999,41.119999,1898600,41.119999
2014-06-26,41.110001,41.25,40.150002,40.490002,2405400,40.490002
